VARIABLES = X, Y, Z
ZONE N =      1576 E =      2828 F=FEPOINT ET=TRIANGLE
        0.3837086465        4.7142421989        1.6057861792
        0.1338255244        5.6377782594        1.2953682437
        0.3703118650        9.2466052687        0.4653622912
        0.3703118650        9.2466052687        0.8033458251
        0.2072001221        8.6905235339        0.5801934320
        0.0830823822        8.0752909691        7.5508673087
        0.3703118650        9.2466052687        0.2037033224
        0.2309384653        8.7832010374        0.2392127030
        0.2665199304        8.9131769789        0.0000000000
        0.3703118650        9.2466052687        0.0000000000
        1.3078440623        2.9257686883        0.0000000000
        1.1117390078        3.2147150057        0.0000000000
        1.2079894198        3.0690187689        0.1868347941
        1.7420293730        2.3789887594        0.0000000000
        1.5181152859        2.6469619825        0.0000000000
        1.6284010203        2.5115788521        0.1868347941
        0.1094258791        8.2328780493        0.0000000000
        0.1794857375        8.5749873635        0.0000000000
        0.1448262537        8.4165425896        0.1787618723
        1.9790290645        2.1225159288        0.0000000000
        1.8589296358        2.2492742122        0.1868347941
        0.0026221838        7.1915820905        0.0000000000
        0.0208839243        7.5403136141        0.0000000000
        0.0095780673        7.3660617481        0.1868347941
        2.2285245353        1.8781817789        0.0000000000
        2.3577653222        1.7607579559        0.1868347941
        0.0522890392        6.1460021048        0.0000000000
        0.0758762551        5.9721330993        0.1951087657
        3.0456302377        1.2239321522        0.0000000000
        2.9027851021        1.3243652267        0.1868347941
        0.3594886261        4.7855906671        0.0000000000
        0.2573158292        5.1195186328        0.0000000000
        0.3063195685        4.9519174134        0.1868347941
        3.6407063616        0.8587341491        0.0000000000
        3.3386122194        1.0339091928        0.0000000000
        3.4885667498        0.9444375547        0.1868347941
        0.9302881727        3.5130818287        0.0000000000
        0.7639431367        3.8201266067        0.0000000000
        0.8452006620        3.6655667484        0.1868347941
        3.9511608373        0.6988429824        0.0000000000
        3.7949363820        0.7768523074        0.1868347941
        1.4112407981        2.7850539051        0.1868347941
        4.5940413714        0.4264649482        0.0000000000
        4.2692030130        0.5546336167        0.0000000000
